id,juId,content,poetId,poetName,poetryId,poetryName
221,227,淡荡春光寒食天。玉炉沈水袅残烟。梦回山枕隐花钿。,536,李清照,52800,浣溪沙·淡荡春光寒食天
222,228,万壑树参天，千山响杜鹃。,515,王维,5611,送梓州李使君
223,229,请君试问东流水，别意与之谁短长。,247,李白,8080,金陵酒肆留别
224,230,穿花蛱蝶深深见，点水蜻蜓款款飞。,474,杜甫,10853,曲江二首
225,231,草满池塘水满陂，山衔落日浸寒漪。,230,雷震,71216,村晚
226,232,半生已分孤眠过，山枕檀痕涴。,188,纳兰性德,71942,虞美人·曲阑深处重相见
227,233,舍南舍北皆春水，但见群鸥日日来。,474,杜甫,10965,客至
228,234,郴江幸自绕郴山，为谁流下潇湘去。,125,秦观,50249,踏莎行·郴州旅舍
229,235,落木千山天远大，澄江一道月分明。,268,黄庭坚,69107,登快阁
230,236,无限河山泪，谁言天地宽！,526,夏完淳,69231,别云间
231,237,兽炉沉水烟，翠沼残花片。,394,张可久,72377,塞鸿秋·春情
232,238,关山万里不可越，谁能坐对芳菲月。,378,卢思道,48170,从军行
233,239,流水本自断人肠，坚冰旧来伤马骨。,378,卢思道,48170,从军行
234,240,长风萧萧渡水来，归雁连连映天没。,378,卢思道,48170,从军行
235,241,汴水流，泗水流，流到瓜州古渡头。吴山点点愁。,665,白居易,71052,长相思·汴水流
236,242,男儿何不带吴钩，收取关山五十州。,349,李贺,71327,南园十三首·其五
237,243,古人今人若流水，共看明月皆如此。,247,李白,8239,把酒问月·故人贾淳令予问之
238,244,匈奴草黄马正肥，金山西见烟尘飞，汉家大将西出师。,113,岑参,9323,走马川行奉送出师西征 / 走马川行奉送封大夫出师西征
239,245,满目山河空念远，落花风雨更伤春。,432,晏殊,48600,浣溪沙·一向年光有限身
240,246,活水源流随处满，东风花柳逐时新。,654,于谦,72147,观书
241,247,伯牙鼓琴，志在高山,0,,72489,伯牙绝弦
242,248,欸乃一声山水绿。回看天际下中流，岩上无心云相逐。,646,柳宗元,18336,渔翁
243,249,平林漠漠烟如织，寒山一带伤心碧。,247,李白,47069,菩萨蛮·平林漠漠烟如织
244,250,烟水茫茫，千里斜阳暮。山无数。乱红如雨。不记来时路。,125,秦观,50288,点绛唇·桃源
245,251,雪里温柔，水边明秀，不借春工力。,217,辛弃疾,57645,念奴娇·梅
246,252,斜阳独倚西楼。遥山恰对帘钩。,432,晏殊,48616,清平乐·红笺小字
247,253,山远近，路横斜，青旗沽酒有人家。,217,辛弃疾,57674,鹧鸪天·陌上柔桑破嫩芽
248,254,此身行作稽山土，犹吊遗踪一泫然。,272,陆游,69129,沈园二首
249,255,斜阳流水推篷坐，翠色随人欲上船。,274,纪昀,71039,富春至严陵山水甚佳
250,256,红树青山日欲斜，长郊草色绿无涯。,561,欧阳修,70924,丰乐亭游春·其三
251,257,五月天山雪，无花只有寒。,247,李白,71316,塞下曲六首·其一
252,258,白日登山望烽火，黄昏饮马傍交河。,671,李颀,6013,古从军行
253,259,借问江潮与海水，何似君情与妾心？,665,白居易,71053,浪淘沙·借问江潮与海水
254,260,山川萧条极边土，胡骑凭陵杂风雨。,227,高适,10240,燕歌行
255,261,平芜尽处是春山，行人更在春山外。,561,欧阳修,48741,踏莎行·候馆梅残
256,262,山边幽谷水边村，曾被疏花断客魂。,57,张嵲,71267,墨梅
257,263,犬吠水声中，桃花带露浓。,247,李白,8413,访戴天山道士不遇
258,265,却下水晶帘，玲珑望秋月。,247,李白,7783,玉阶怨
259,266,深知身在情长在，怅望江头江水声。,204,李商隐,28906,暮秋独游曲江
260,267,莫莫高山。深谷逶迤。,0,,47934,紫芝歌
261,269,两水夹明镜，双桥落彩虹。,247,李白,8292,秋登宣城谢脁北楼
262,270,渐行渐远渐无书，水阔鱼沉何处问。,561,欧阳修,48798,玉楼春·别后不知君远近
263,271,自笑堂堂汉使，得似洋洋河水，依旧只流东。,244,陈亮,58914,水调歌头·送章德茂大卿使虏
264,272,群山万壑赴荆门，生长明妃尚有村。,474,杜甫,70859,咏怀古迹五首·其三
265,273,江流天地外，山色有无中。,515,王维,5649,汉江临泛 / 汉江临眺
266,274,报道山中去，归时每日斜。,392,皎然,43298,寻陆鸿渐不遇
267,275,碧野朱桥当日事，人不见，水空流。,125,秦观,50238,江城子·西城杨柳弄春柔
268,276,太乙近天都，连山接海隅。,515,王维,5642,终南山
269,277,海畔尖山似剑铓，秋来处处割愁肠。,646,柳宗元,18225,与浩初上人同看山寄京华亲故
270,278,水调数声持酒听。午醉醒来愁未醒。,587,张先,48495,天仙子·水调数声持酒听
271,279,筑室兮水中，葺之兮荷盖；,238,屈原,71262,九歌·湘夫人
272,280,吴姬越艳楚王妃，争弄莲舟水湿衣。,437,王昌龄,6434,采莲曲二首
273,281,凉月如眉挂柳湾，越中山色镜中看。,286,戴叔伦,14364,兰溪棹歌
274,283,河水倾泼丈余，鸡鸣犬吠满城中。,567,蒲松龄,72498,地震
275,284,栖霞山裂；沂水陷穴，广数亩。,567,蒲松龄,72498,地震
276,285,鼎湖流水清且闲，轩辕去时有弓剑，古人传道留其间。,247,李白,7724,飞龙引二首·其二
277,286,白酒新熟山中归，黄鸡啄黍秋正肥。,247,李白,8092,南陵别儿童入京
278,287,四月清和雨乍晴，南山当户转分明。,568,司马光,71229,客中初夏
279,288,隋堤三月水溶溶。背归鸿，去吴中。,183,苏轼,49476,江神子·恨别
280,289,惟有楼前流水，应念我、终日凝眸。,536,李清照,52801,凤凰台上忆吹箫·香冷金猊
281,290,知章骑马似乘船，眼花落井水底眠。,474,杜甫,10394,饮中八仙歌
282,291,淮水东边旧时月，夜深还过女墙来。,197,刘禹锡,19002,金陵五题·石头城
283,292,远去不逢青海马，力穷难拔蜀山蛇。,204,李商隐,28669,咏史二首·其二
284,293,一枝红艳露凝香，云雨巫山枉断肠。,247,李白,70872,清平调·其二
285,294,寒山转苍翠，秋水日潺湲。,515,王维,5583,辋川闲居赠裴秀才迪
286,295,枯枝无丑叶，涸水吐清泉。,247,李白,7832,长歌行
287,296,云中乱拍禄山舞，风过重峦下笑声。,211,杜牧,27571,过华清宫绝句三首
288,297,知音如不赏，归卧故山秋。,491,贾岛,31650,题诗后
289,298,醉后不知天在水，满船清梦压星河。,977,唐珙,42002,题龙阳县青草湖
290,300,借得山东烟水寨，来买凤城春色。,195,施耐庵,64767,念奴娇·天南地北
291,301,山光忽西落，池月渐东上。,757,孟浩然,7256,夏日南亭怀辛大
292,302,高山安可仰，徒此揖清芬。,247,李白,7877,赠孟浩然
293,303,凌晨过骊山，御榻在嵽嵲。,474,杜甫,10408,自京赴奉先县咏怀五百字 / 自京赴奉先咏怀五百字
294,304,朝屯雪山下，暮宿青海旁。,847,韦元甫,14113,木兰歌
295,305,水深桥梁绝，中路正徘徊。,552,曹操,48004,苦寒行
296,306,君若清路尘，妾若浊水泥；,322,曹植,71941,七哀诗
297,307,桃花尽日随流水，洞在清溪何处边。,15,张旭,5238,桃花溪
298,308,燕山雪花大如席，片片吹落轩辕台。,247,李白,7739,北风行
299,309,醉舞梁园夜，行歌泗水春。,474,杜甫,10927,寄李十二白二十韵
300,310,天涯倦客，山中归路，望断故园心眼。,183,苏轼,49493,永遇乐·彭城夜宿燕子楼
301,311,青山相待，白云相爱，梦不到紫罗袍共黄金带。,742,宋方壶,69526,山坡羊·道情
302,312,好水好山看不足，马蹄催趁月明归。,630,岳飞,70961,池州翠微亭
303,313,一江烟水照晴岚，两岸人家接画檐，芰荷丛一段秋光淡。,41,张养浩,71283,水仙子·咏江南
304,314,玉露凋伤枫树林，巫山巫峡气萧森。,474,杜甫,71947,秋兴八首·其一
305,315,假令风歇时下来，犹能簸却沧溟水。,247,李白,7914,上李邕
306,316,雁引愁心去，山衔好月来。,247,李白,8322,与夏十二登岳阳楼
307,317,尚怜终南山，回首清渭滨。,474,杜甫,10370,奉赠韦左丞丈二十二韵
308,318,三春白雪归青冢，万里黄河绕黑山。,118,柳中庸,13124,征人怨 / 征怨
309,319,东风吹雨过青山，却望千门草色闲。,583,卢纶,14680,长安春望
310,320,南山与秋色，气势两相高。,211,杜牧,27599,长安秋望
311,321,艳歌余响，绕云萦水。,183,苏轼,49378,水龙吟·黄州梦过栖霞楼
312,322,江帆几片疾如箭，山泉千尺飞如电。,344,周德清,69779,塞鸿秋·浔阳即景
313,323,近水楼台先得月，向阳花木易为春。,1473,苏麟,71958,断句
314,324,河水洋洋，北流活活。,0,,56,硕人
315,325,那作商人妇，愁水复愁风。,247,李白,1845,长干行二首
316,328,莫遣只轮归海窟，仍留一箭射天山。,484,李益,15023,塞下曲
317,329,繁华事散逐香尘，流水无情草自春。,211,杜牧,27911,金谷园
318,330,湖山信是东南美，一望弥千里。,183,苏轼,49523,虞美人·有美堂赠述古
319,331,日照香炉生紫烟，遥看瀑布挂前川。,247,李白,71193,望庐山瀑布
320,332,庐山秀出南斗傍，屏风九叠云锦张。,247,李白,8040,庐山谣寄卢侍御虚舟
321,333,西登香炉峰，南见瀑布水。,247,李白,8280,望庐山瀑布水二首
322,334,灵山多秀色，空水共氤氲。,691,张九龄,2777,湖口望庐山瀑布泉 / 湖口望庐山瀑布水
323,335,香炉初上日，瀑水喷成虹。,757,孟浩然,7277,彭蠡湖中望庐山
324,336,今古长如白练飞，一条界破青山色。,878,徐凝,24545,庐山瀑布
325,337,挂席几千里，名山都未逢。,757,孟浩然,7377,晚泊浔阳望庐山
326,338,笑别庐山远，何烦过虎溪。,247,李白,8082,别东林寺僧
327,339,去年上巳洛桥边，今年寒食庐山曲。,248,宋之问,2961,寒食江州满塘驿
328,340,昼夜蔽日月，冬夏共霜雪。,758,谢灵运,72637,登庐山绝顶望诸峤
329,341,归装渐理君知否？笑指庐山古涧藤。,272,陆游,71585,自咏示客
330,342,愿得一心人，白头不相离。,785,卓文君,47866,白头吟
331,343,欲把相思说似谁，浅情人不知。,588,晏几道,49348,长相思·长相思
332,344,取次花丛懒回顾，半缘修道半缘君。,18,元稹,71940,离思五首·其四
333,345,只愿君心似我心，定不负相思意。,578,李之仪,49753,卜算子·我住长江头
334,346,恨君不似江楼月，南北东西，南北东西，只有相随无别离。,644,吕本中,52881,采桑子·恨君不似江楼月
335,347,孤灯不明思欲绝，卷帷望月空长叹。,247,李白,7727,长相思·其一
336,348,妆罢低声问夫婿，画眉深浅入时无。,350,朱庆馀,27277,近试上张籍水部 / 近试上张水部 / 闺意献张水部
337,349,闻君有两意，故来相决绝。,785,卓文君,47866,白头吟
338,350,忽见陌头杨柳色，悔教夫婿觅封侯。,437,王昌龄,6443,闺怨
339,351,情人怨遥夜，竟夕起相思。,691,张九龄,2784,望月怀远 / 望月怀古
340,352,思君如陇水，长闻呜咽声。,295,雍裕之,1775,自君之出矣
